RF,nodes Count,
RF_20_pruned_with_sigma_0_1_t5,3339,
RF_20_pruned_with_sigma_0_2_t5,2069,
RF_20_pruned_with_sigma_0_3_t5,1610,
RF_20_t6,1929,
RF_20_pruned_with_sigma_0_0_t6,6133,
RF_20_pruned_with_sigma_0_1_t6,3113,
RF_20_pruned_with_sigma_0_2_t6,1926,
RF_20_pruned_with_sigma_0_3_t6,1492,
RF_20_t7,1262,
RF_20_pruned_with_sigma_0_0_t7,4819,
RF_20_pruned_with_sigma_0_1_t7,2891,
RF_20_pruned_with_sigma_0_2_t7,1824,
RF_20_pruned_with_sigma_0_3_t7,1391,
RF_20_t8,873,
RF_20_pruned_with_sigma_0_0_t8,3655,
RF_20_pruned_with_sigma_0_1_t8,2651,
RF_20_pruned_with_sigma_0_2_t8,1703,
RF_20_pruned_with_sigma_0_3_t8,1308,
RF_20_t9,627,
RF_20_pruned_with_sigma_0_0_t9,2766,
RF_20_pruned_with_sigma_0_1_t9,2456,
RF_20_pruned_with_sigma_0_2_t9,1597,
RF_20_pruned_with_sigma_0_3_t9,1236,
RF_20_t10,443,
RF_20_pruned_with_sigma_0_0_t10,2024,
RF_20_pruned_with_sigma_0_1_t10,2237,
RF_20_pruned_with_sigma_0_2_t10,1499,
RF_20_pruned_with_sigma_0_3_t10,1161,
RF_20_t11,299,
RF_20_pruned_with_sigma_0_0_t11,1464,
RF_20_pruned_with_sigma_0_1_t11,2029,
RF_20_pruned_with_sigma_0_2_t11,1399,
RF_20_pruned_with_sigma_0_3_t11,1095,
RF_20_t12,201,
RF_20_pruned_with_sigma_0_0_t12,1124,
RF_20_pruned_with_sigma_0_1_t12,1846,
RF_20_pruned_with_sigma_0_2_t12,1296,
RF_20_pruned_with_sigma_0_3_t12,1030,
RF_20_t13,126,
RF_20_pruned_with_sigma_0_0_t13,848,
RF_20_pruned_with_sigma_0_1_t13,1649,
RF_20_pruned_with_sigma_0_2_t13,1206,
RF_20_pruned_with_sigma_0_3_t13,975,
RF_20_t14,81,
RF_20_pruned_with_sigma_0_0_t14,693,
RF_20_pruned_with_sigma_0_1_t14,1485,
RF_20_pruned_with_sigma_0_2_t14,1129,
RF_20_pruned_with_sigma_0_3_t14,907,
RF_20_t15,42,
RF_20_pruned_with_sigma_0_0_t15,571,
RF_20_pruned_with_sigma_0_1_t15,1317,
RF_20_pruned_with_sigma_0_2_t15,1038,
RF_20_pruned_with_sigma_0_3_t15,853,
RF_20_t16,22,
RF_20_pruned_with_sigma_0_0_t16,502,
RF_20_pruned_with_sigma_0_1_t16,1163,
RF_20_pruned_with_sigma_0_2_t16,968,
RF_20_pruned_with_sigma_0_3_t16,797,
RF_20_t17,14,
RF_20_pruned_with_sigma_0_0_t17,461,
RF_20_pruned_with_sigma_0_1_t17,1027,
RF_20_pruned_with_sigma_0_2_t17,896,
RF_20_pruned_with_sigma_0_3_t17,744,
RF_20_t18,5,
RF_20_pruned_with_sigma_0_0_t18,429,
RF_20_pruned_with_sigma_0_1_t18,885,
RF_20_pruned_with_sigma_0_2_t18,818,
RF_20_pruned_with_sigma_0_3_t18,704,
RF_20_t19,3,
RF_20_pruned_with_sigma_0_0_t19,411,
RF_20_pruned_with_sigma_0_1_t19,778,
RF_20_pruned_with_sigma_0_2_t19,745,
RF_20_pruned_with_sigma_0_3_t19,649,
RF_20_t20,1,
RF_20_pruned_with_sigma_0_0_t20,393,
RF_20_pruned_with_sigma_0_1_t20,677,
RF_20_pruned_with_sigma_0_2_t20,672,
RF_20_pruned_with_sigma_0_3_t20,592,
RF_20_t21,1,
RF_20_pruned_with_sigma_0_0_t21,375,
RF_20_pruned_with_sigma_0_1_t21,579,
RF_20_pruned_with_sigma_0_2_t21,612,
RF_20_pruned_with_sigma_0_3_t21,545,
RF_20_t22,1,
RF_20_pruned_with_sigma_0_0_t22,353,
RF_20_pruned_with_sigma_0_1_t22,504,
RF_20_pruned_with_sigma_0_2_t22,538,
RF_20_pruned_with_sigma_0_3_t22,505,
RF_20_t23,1,
RF_20_pruned_with_sigma_0_0_t23,321,
RF_20_pruned_with_sigma_0_1_t23,437,
RF_20_pruned_with_sigma_0_2_t23,484,
RF_20_pruned_with_sigma_0_3_t23,457,
RF_20_t24,1,
RF_20_pruned_with_sigma_0_0_t24,270,
RF_20_pruned_with_sigma_0_1_t24,378,
RF_20_pruned_with_sigma_0_2_t24,421,
RF_20_pruned_with_sigma_0_3_t24,415,
RF_20_t25,1,
RF_20_pruned_with_sigma_0_0_t25,173,
RF_20_pruned_with_sigma_0_1_t25,329,
RF_20_pruned_with_sigma_0_2_t25,363,
RF_20_pruned_with_sigma_0_3_t25,365,
