RF,nodes Count,accuracy,
RF_15_t10_pruned_with_sigma_0_0,139,0.7308450372399092,
RF_15_t10_pruned_with_sigma_0_1,258,0.7241442406308101,
RF_15_t10_pruned_with_sigma_0_2,267,0.7245796737612359,
RF_15_t10_pruned_with_sigma_0_3,227,0.7455760009814429,
RF_15_t11,49,0.6298419209234645,
RF_15_t11_pruned_with_sigma_0_0,89,0.7308480831225496,
RF_15_t11_pruned_with_sigma_0_1,191,0.7855189391169689,
RF_15_t11_pruned_with_sigma_0_2,230,0.7476070420063844,
RF_15_t11_pruned_with_sigma_0_3,203,0.7541597181100073,
RF_15_t12,27,0.6871544141996515,
RF_15_t12_pruned_with_sigma_0_0,54,0.735351813236078,
RF_15_t12_pruned_with_sigma_0_1,150,0.786199183613708,
RF_15_t12_pruned_with_sigma_0_2,186,0.7632129886293306,
RF_15_t12_pruned_with_sigma_0_3,181,0.7530834351405001,
RF_15_t13,12,0.5052601556508679,
RF_15_t13_pruned_with_sigma_0_0,31,0.710526639966428,
RF_15_t13_pruned_with_sigma_0_1,114,0.7799078688575383,
RF_15_t13_pruned_with_sigma_0_2,154,0.7738183769609837,
RF_15_t13_pruned_with_sigma_0_3,163,0.7632272137916836,
RF_15_t14,7,0.5252920208616115,
RF_15_t14_pruned_with_sigma_0_0,19,0.6021158319515273,
RF_15_t14_pruned_with_sigma_0_1,95,0.7312419138048921,
RF_15_t14_pruned_with_sigma_0_2,124,0.7535191009560442,
RF_15_t14_pruned_with_sigma_0_3,142,0.7661681041742803,
RF_15_t15,4,0.3068608372767584,
RF_15_t15_pruned_with_sigma_0_0,8,0.6756447226426513,
RF_15_t15_pruned_with_sigma_0_1,72,0.6992420779851412,
RF_15_t15_pruned_with_sigma_0_2,93,0.7407011158588761,
RF_15_t15_pruned_with_sigma_0_3,121,0.760311988112918,
RF_15_t16,1,0.24171349360811673,
RF_15_t16_pruned_with_sigma_0_0,3,0.48181427572195207,
RF_15_t16_pruned_with_sigma_0_1,51,0.6577177221708754,
RF_15_t16_pruned_with_sigma_0_2,74,0.6910668842917529,
RF_15_t16_pruned_with_sigma_0_3,99,0.7465595028581106,
RF_15_t17,1,0.24171349360811673,
RF_15_t17_pruned_with_sigma_0_0,2,0.31183666171694985,
RF_15_t17_pruned_with_sigma_0_1,43,0.6304313600530861,
RF_15_t17_pruned_with_sigma_0_2,57,0.6617362212321225,
RF_15_t17_pruned_with_sigma_0_3,80,0.719034241190715,
RF_15_t18,1,0.24171349360811673,
RF_15_t18_pruned_with_sigma_0_0,1,0.24171349360811673,
