DSF,accuracy,
RF_15_pruned_with_sigma_0_0_t10,0.5200850957326992,
RF_15_pruned_with_sigma_0_1_t10,0.5315980478037793,
RF_15_pruned_with_sigma_0_2_t10,0.5631335252158679,
RF_15_pruned_with_sigma_0_3_t10,0.585033162307596,
RF_15_t11,0.5758978851207609,
RF_15_pruned_with_sigma_0_0_t11,0.5197096733825554,
RF_15_pruned_with_sigma_0_1_t11,0.5230884745338505,
RF_15_pruned_with_sigma_0_2_t11,0.5516205731447879,
RF_15_pruned_with_sigma_0_3_t11,0.5667626079339256,
RF_15_t12,0.5821549242898261,
RF_15_pruned_with_sigma_0_0_t12,0.5207107996496058,
RF_15_pruned_with_sigma_0_1_t12,0.5215867851332749,
RF_15_pruned_with_sigma_0_2_t12,0.5377299461894631,
RF_15_pruned_with_sigma_0_3_t12,0.5666374671505444,
RF_15_t13,0.5885371042422726,
RF_15_pruned_with_sigma_0_0_t13,0.522838192967088,
RF_15_pruned_with_sigma_0_1_t13,0.5204605180828432,
RF_15_pruned_with_sigma_0_2_t13,0.5310974846702541,
RF_15_pruned_with_sigma_0_3_t13,0.5565010636966587,
RF_15_t14,0.5951695657614816,
RF_15_pruned_with_sigma_0_0_t14,0.5305969215367288,
RF_15_pruned_with_sigma_0_1_t14,0.5197096733825554,
RF_15_pruned_with_sigma_0_2_t14,0.5309723438868728,
RF_15_pruned_with_sigma_0_3_t14,0.5471155049430609,
RF_15_t15,0.6013014641471656,
RF_15_pruned_with_sigma_0_0_t15,0.5396070579401827,
RF_15_pruned_with_sigma_0_1_t15,0.5194593918157928,
RF_15_pruned_with_sigma_0_2_t15,0.5302214991865849,
RF_15_pruned_with_sigma_0_3_t15,0.5504943060943561,
RF_15_t16,0.5946690026279564,
RF_15_pruned_with_sigma_0_0_t16,0.5519959954949318,
RF_15_pruned_with_sigma_0_1_t16,0.519959954949318,
RF_15_pruned_with_sigma_0_2_t16,0.5254661494180953,
RF_15_pruned_with_sigma_0_3_t16,0.5382305093229883,
RF_15_t17,0.6036791390314104,
RF_15_pruned_with_sigma_0_0_t17,0.5696408459516956,
RF_15_pruned_with_sigma_0_1_t17,0.5189588286822675,
RF_15_pruned_with_sigma_0_2_t17,0.5230884745338505,
RF_15_pruned_with_sigma_0_3_t17,0.5270929796020523,
RF_15_t18,0.5982980853460143,
RF_15_pruned_with_sigma_0_0_t18,0.5805280941058691,
RF_15_pruned_with_sigma_0_1_t18,0.5197096733825554,
RF_15_pruned_with_sigma_0_2_t18,0.5229633337504693,
RF_15_pruned_with_sigma_0_3_t18,0.5229633337504693,
RF_15_t19,0.6076836440996121,
RF_15_pruned_with_sigma_0_0_t19,0.5926667500938556,
RF_15_pruned_with_sigma_0_1_t19,0.5204605180828432,
RF_15_pruned_with_sigma_0_2_t19,0.5252158678513328,
RF_15_pruned_with_sigma_0_3_t19,0.5225879114003253,
RF_15_t20,0.6136904017019147,
RF_15_pruned_with_sigma_0_0_t20,0.6031785758978851,
RF_15_pruned_with_sigma_0_1_t20,0.5210862219997497,
RF_15_pruned_with_sigma_0_2_t20,0.5260918533350019,
RF_15_pruned_with_sigma_0_3_t20,0.5217119259166563,
RF_15_t21,0.6275810286572394,
RF_15_pruned_with_sigma_0_0_t21,0.6367163058440746,
RF_15_pruned_with_sigma_0_1_t21,0.5217119259166563,
RF_15_pruned_with_sigma_0_2_t21,0.5247153047178076,
RF_15_pruned_with_sigma_0_3_t21,0.5230884745338505,
RF_15_t22,0.6486046802652985,
RF_15_pruned_with_sigma_0_0_t22,0.6507320735827806,
RF_15_pruned_with_sigma_0_1_t22,0.525341008634714,
RF_15_pruned_with_sigma_0_2_t22,0.5247153047178076,
RF_15_pruned_with_sigma_0_3_t22,0.5213365035665123,
