RF,comparisons Count,accuracy,
RF_15_t2_pruned_with_sigma_0_2,284.1,0.7086804523883197,
RF_15_t2_pruned_with_sigma_0_3,305.7,0.7260390786989994,
RF_15_t3,200.0,0.5897464844109337,
RF_15_t3_pruned_with_sigma_0_0,200.0,0.5958280967915058,
RF_15_t3_pruned_with_sigma_0_1,203.8,0.7070019237580096,
RF_15_t3_pruned_with_sigma_0_2,216.3,0.7541915438679991,
RF_15_t3_pruned_with_sigma_0_3,229.5,0.6965022664129314,
RF_15_t4,200.0,0.6404562859218068,
RF_15_t4_pruned_with_sigma_0_0,200.0,0.6665727459141179,
RF_15_t4_pruned_with_sigma_0_1,200.0,0.6666454049855138,
RF_15_t4_pruned_with_sigma_0_2,201.8,0.7078878772203913,
RF_15_t4_pruned_with_sigma_0_3,204.1,0.7814549810775965,
RF_15_t5,199.0,0.6060018539439274,
RF_15_t5_pruned_with_sigma_0_0,200.0,0.6068531609935622,
RF_15_t5_pruned_with_sigma_0_1,200.0,0.6720602041952436,
RF_15_t5_pruned_with_sigma_0_2,199.0,0.6884602654608232,
RF_15_t5_pruned_with_sigma_0_3,200.9,0.7474034652175825,
RF_15_t6,199.0,0.6719943889009208,
RF_15_t6_pruned_with_sigma_0_0,199.0,0.5897242983137911,
RF_15_t6_pruned_with_sigma_0_1,200.0,0.6801723870138454,
RF_15_t6_pruned_with_sigma_0_2,199.0,0.7044754181990601,
RF_15_t6_pruned_with_sigma_0_3,199.0,0.7360740936272115,
RF_15_t7,199.0,0.675152077005118,
RF_15_t7_pruned_with_sigma_0_0,199.0,0.7101360404811897,
RF_15_t7_pruned_with_sigma_0_1,199.0,0.7045351091576549,
RF_15_t7_pruned_with_sigma_0_2,199.0,0.7141756130846446,
RF_15_t7_pruned_with_sigma_0_3,199.0,0.7351754802883642,
RF_15_t8,199.0,0.6787608145701772,
RF_15_t8_pruned_with_sigma_0_0,199.0,0.7351548234540177,
RF_15_t8_pruned_with_sigma_0_1,199.0,0.7158121482979769,
RF_15_t8_pruned_with_sigma_0_2,199.0,0.7243310926174764,
RF_15_t8_pruned_with_sigma_0_3,199.0,0.7435309148144198,
RF_15_t9,132.0,0.6370722972263712,
RF_15_t9_pruned_with_sigma_0_0,199.0,0.7543371458827631,
RF_15_t9_pruned_with_sigma_0_1,199.0,0.7169392923692547,
RF_15_t9_pruned_with_sigma_0_2,199.0,0.7121569722456563,
RF_15_t9_pruned_with_sigma_0_3,199.0,0.7523393395475477,
RF_15_t10,90.0,0.7164347039727657,
RF_15_t10_pruned_with_sigma_0_0,138.0,0.7308450372399092,
RF_15_t10_pruned_with_sigma_0_1,199.0,0.7241442406308101,
RF_15_t10_pruned_with_sigma_0_2,199.0,0.7245796737612359,
RF_15_t10_pruned_with_sigma_0_3,199.0,0.7455760009814429,
RF_15_t11,48.0,0.6298419209234645,
RF_15_t11_pruned_with_sigma_0_0,88.0,0.7308480831225496,
RF_15_t11_pruned_with_sigma_0_1,190.0,0.7855189391169689,
RF_15_t11_pruned_with_sigma_0_2,199.0,0.7476070420063844,
RF_15_t11_pruned_with_sigma_0_3,199.0,0.7541597181100073,
RF_15_t12,26.0,0.6871544141996515,
RF_15_t12_pruned_with_sigma_0_0,53.0,0.735351813236078,
RF_15_t12_pruned_with_sigma_0_1,149.0,0.786199183613708,
RF_15_t12_pruned_with_sigma_0_2,185.0,0.7632129886293306,
RF_15_t12_pruned_with_sigma_0_3,180.0,0.7530834351405001,
RF_15_t13,11.0,0.5052601556508679,
RF_15_t13_pruned_with_sigma_0_0,30.0,0.710526639966428,
RF_15_t13_pruned_with_sigma_0_1,113.0,0.7799078688575383,
RF_15_t13_pruned_with_sigma_0_2,153.0,0.7738183769609837,
RF_15_t13_pruned_with_sigma_0_3,162.0,0.7632272137916836,
RF_15_t14,6.0,0.5252920208616115,
RF_15_t14_pruned_with_sigma_0_0,18.0,0.6021158319515273,
RF_15_t14_pruned_with_sigma_0_1,94.0,0.7312419138048921,
RF_15_t14_pruned_with_sigma_0_2,123.0,0.7535191009560442,
RF_15_t14_pruned_with_sigma_0_3,141.0,0.7661681041742803,
RF_15_t15,3.0,0.3068608372767584,
RF_15_t15_pruned_with_sigma_0_0,7.0,0.6756447226426513,
RF_15_t15_pruned_with_sigma_0_1,71.0,0.6992420779851412,
RF_15_t15_pruned_with_sigma_0_2,92.0,0.7407011158588761,
RF_15_t15_pruned_with_sigma_0_3,120.0,0.760311988112918,
RF_15_t16,0.0,0.24171349360811673,
RF_15_t16_pruned_with_sigma_0_0,2.0,0.48181427572195207,
RF_15_t16_pruned_with_sigma_0_1,50.0,0.6577177221708754,
RF_15_t16_pruned_with_sigma_0_2,73.0,0.6910668842917529,
RF_15_t16_pruned_with_sigma_0_3,98.0,0.7465595028581106,
RF_15_t17,0.0,0.24171349360811673,
RF_15_t17_pruned_with_sigma_0_0,1.0,0.31183666171694985,
RF_15_t17_pruned_with_sigma_0_1,42.0,0.6304313600530861,
RF_15_t17_pruned_with_sigma_0_2,56.0,0.6617362212321225,
RF_15_t17_pruned_with_sigma_0_3,79.0,0.719034241190715,
RF_15_t18,0.0,0.24171349360811673,
RF_15_t18_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_15_t18_pruned_with_sigma_0_1,30.0,0.5572345710518396,
RF_15_t18_pruned_with_sigma_0_2,46.0,0.6538500162643532,
RF_15_t18_pruned_with_sigma_0_3,65.0,0.7025467608481761,
RF_15_t19,0.0,0.24171349360811673,
RF_15_t19_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_15_t19_pruned_with_sigma_0_1,21.0,0.6100708567238923,
RF_15_t19_pruned_with_sigma_0_2,42.0,0.6396506308153022,
RF_15_t19_pruned_with_sigma_0_3,54.0,0.685175165156263,
RF_15_t20,0.0,0.24171349360811673,
RF_15_t20_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_15_t20_pruned_with_sigma_0_1,14.0,0.4435106578359022,
RF_15_t20_pruned_with_sigma_0_2,37.0,0.6209744128917737,
